Категория,Навык,Количество,Всего вакансий,200
Облачные платформы,aws,6
Облачные платформы,yandex cloud,3
Облачные платформы,azure,2
Облачные платформы,pulumi,1
CI/CD и автоматизация,ci/cd,35
CI/CD и автоматизация,jenkins,12
CI/CD и автоматизация,gitlab ci/cd,7
CI/CD и автоматизация,github actions,2
CI/CD и автоматизация,argocd,2
Контейнеризация и оркестрация,docker,32
Контейнеризация и оркестрация,kubernetes,24
Контейнеризация и оркестрация,helm,12
Контейнеризация и оркестрация,docker compose,2
Контейнеризация и оркестрация,kustomize,1
Контейнеризация и оркестрация,openshift,1
DevOps-методологии,gitops,5
DevOps-методологии,infrastructure as code (iac),1
Мониторинг и логирование,grafana,21
Мониторинг и логирование,prometheus,19
Мониторинг и логирование,zabbix,9
Мониторинг и логирование,loki,3
Мониторинг и логирование,sentry,2
Инфраструктура и сети,ansible,18
Инфраструктура и сети,puppet,1
Базы данных и хранилища,postgresql,15
Базы данных и хранилища,redis,9
Базы данных и хранилища,mongodb,6
Безопасность,hashicorp vault,1
