Категория,Навык,Количество,Всего вакансий,100
веб-серверы и бд,postgresql,17
веб-серверы и бд,nginx,13
веб-серверы и бд,apache,7
веб-серверы и бд,redis,5
автоматизация,ansible,14
автоматизация,terraform,3
основы linux,bash,29
основы linux,shell,22
виртуализация и контейнеризация,docker,22
виртуализация и контейнеризация,kvm,9
виртуализация и контейнеризация,kubernetes,7
сетевые технологии,dns,52
сетевые технологии,dhcp,48
сетевые технологии,tcp/ip,24
сетевые технологии,ssh,5
сетевые технологии,http/https,2
мониторинг и логи,zabbix,28
мониторинг и логи,grafana,10
мониторинг и логи,prometheus,10
мониторинг и логи,nagios,2
ci/cd,jenkins,3
ci/cd,argocd,1
ci/cd,gitlab ci/cd,1
резервное копирование,tar,3
облачные технологии,proxmox ve,2
облачные технологии,openstack,1
